series_id,num_points,num_anomaly_points,num_true_event_windows,num_pred_event_windows,auprc,point_precision,point_recall,point_f1,point_auroc,point_auprc,event_precision,event_recall,event_f1,false_positive_event_count,event_count_true,event_count_pred,method,donor_policy,synthesis_method,labeled_fraction
Genesis/processed_Genesis_AnomalyLabels_col_2,16220,50,3,206,0.002792966403876576,0.0017433751743375174,0.3,0.0034666050381326552,0.42952195423623996,0.002792966403876576,0.009708737864077669,0.6666666666666666,0.019138755980861243,204.0,3.0,206.0,real_only,,,0.2
IOPS/KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd,8866,62,5,229,0.04655551766301039,0.015258855585831062,0.9032258064516129,0.030010718113612004,0.8217470797731237,0.04655551766301039,0.021834061135371178,1.0,0.042735042735042736,224.0,5.0,229.0,real_only,,,0.2
IOPS/KPI-a8c06b47-cc41-3738-9110-12df0ee4c721,7578,127,10,213,0.02350014931409658,0.018872214643019556,0.6535433070866141,0.036685082872928175,0.5889374887057384,0.02350014931409658,0.018779342723004695,0.4,0.03587443946188341,209.0,10.0,213.0,real_only,,,0.2
IOPS/KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9,11138,178,12,30,0.015066378744108402,0.026022304832713755,0.03932584269662921,0.03131991051454139,0.44732684737144257,0.015066378744108402,0.0,0.0,0.0,30.0,12.0,30.0,real_only,,,0.2
MSL/M-4_col_0,2038,251,1,49,0.07338903234211988,0.05508474576271186,0.20717131474103587,0.08702928870292886,0.20526177327622916,0.07338903234211988,0.02040816326530612,1.0,0.039999999999999994,48.0,1.0,49.0,real_only,,,0.2
MSL/M-6_col_0,2049,181,1,3,0.14849130317740655,0.015873015873015872,0.0718232044198895,0.026,0.5210642753203119,0.14849130317740655,0.0,0.0,0.0,3.0,1.0,3.0,real_only,,,0.2
MSL/P-10_col_0,6100,131,1,8,0.5353204865464307,0.5544041450777202,0.816793893129771,0.6604938271604939,0.9801723663866362,0.5353204865464307,0.125,1.0,0.2222222222222222,7.0,1.0,8.0,real_only,,,0.2
NAB/NAB_data_art1_0,4031,402,1,19,0.34168522126461043,0.45475113122171945,0.5,0.476303317535545,0.7730783256492406,0.34168522126461043,0.05263157894736842,1.0,0.1,18.0,1.0,19.0,real_only,,,0.2
NAB/NAB_data_tweets_3,15901,1590,3,42,0.08278899958024158,0.09743556783855004,0.9534591194968554,0.17680331214648085,0.42026164945907374,0.08278899958024158,0.07142857142857142,1.0,0.13333333333333333,39.0,3.0,42.0,real_only,,,0.2
TODS/TODS_012,5000,204,155,17,0.7479991164134125,0.6462264150943396,0.6715686274509803,0.6586538461538461,0.9660787584424929,0.7479991164134125,0.9411764705882353,0.1032258064516129,0.18604651162790697,1.0,155.0,17.0,real_only,,,0.2
TODS/TODS_12,5000,225,123,12,0.6919295384181587,0.7218934911242604,0.5422222222222223,0.6192893401015228,0.9235034322280395,0.6919295384181587,0.75,0.07317073170731707,0.13333333333333333,3.0,123.0,12.0,real_only,,,0.2
TODS/TODS_234,5000,410,13,89,0.07140597803646553,0.09015317286652079,0.5024390243902439,0.1528756957328386,0.44998140177480206,0.07140597803646553,0.06741573033707865,0.46153846153846156,0.1176470588235294,83.0,13.0,89.0,real_only,,,0.2
Genesis/processed_Genesis_AnomalyLabels_col_2,16220,50,3,183,0.002750355160436576,0.0013839234229039326,0.24,0.0027519779841761265,0.41374768089053804,0.002750355160436576,0.01092896174863388,0.6666666666666666,0.021505376344086023,181.0,3.0,183.0,random_event_oversampling,,,0.2
IOPS/KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd,8866,62,5,316,0.06797959729867206,0.0169151376146789,0.9516129032258065,0.03323943661971831,0.8922154152804443,0.06797959729867206,0.015822784810126583,1.0,0.03115264797507788,311.0,5.0,316.0,random_event_oversampling,,,0.2
